month_year,total_sales,total_profit
2011-01,98898.53,8321.76
2011-02,91152.23,12417.85
2011-03,145729.51,15303.58
2011-04,116915.78,12902.31
2011-05,146747.86,12183.86
2011-06,215207.41,23415.12
2011-07,115510.44,5584.98
2011-08,207581.50,23713.64
2011-09,290214.54,35776.90
2011-10,199071.29,25963.37
2011-11,298496.64,32709.10
2011-12,333925.91,40647.94
2012-01,135780.78,10401.65
2012-02,100510.22,15000.05
2012-03,163076.85,17992.87
2012-04,161052.42,17367.01
2012-05,208365.13,29876.75
2012-06,256175.76,34407.02
2012-07,145236.86,15585.43
2012-08,303143.12,43573.91
2012-09,289389.25,27776.26
2012-10,252939.89,30662.87
2012-11,323512.56,31820.74
2012-12,338257.07,32950.74
2013-01,199186.09,26810.56
2013-02,167239.77,23762.45
2013-03,198594.14,23433.84
2013-04,177821.44,19462.13
2013-05,260498.63,28495.59
2013-06,396519.76,45478.26
2013-07,229928.92,28863.70
2013-08,326488.94,31023.61
2013-09,376619.51,38905.61
2013-10,293406.77,42433.27
2013-11,373989.57,48063.04
2013-12,405454.49,50202.78
2014-01,241268.65,28001.38
2014-02,184837.46,19751.70
2014-03,263100.83,37357.15
2014-04,242772.01,23782.31
2014-05,288401.13,33953.62
2014-06,401814.19,43778.56
2014-07,258705.80,28035.81
2014-08,456620.18,53542.98
2014-09,481157.41,67979.52
2014-10,422766.85,58209.95
2014-11,555279.30,62856.62
2014-12,503143.86,46916.40
