month_year,monthly_sales,running_total_sales
2011-01,98898.53,98898.53
2011-02,91152.23,190050.76
2011-03,145729.51,335780.27
2011-04,116915.78,452696.05
2011-05,146747.86,599443.91
2011-06,215207.41,814651.32
2011-07,115510.44,930161.76
2011-08,207581.50,1137743.26
2011-09,290214.54,1427957.80
2011-10,199071.29,1627029.09
2011-11,298496.64,1925525.73
2011-12,333925.91,2259451.64
2012-01,135780.78,2395232.42
2012-02,100510.22,2495742.64
2012-03,163076.85,2658819.49
2012-04,161052.42,2819871.91
2012-05,208365.13,3028237.04
2012-06,256175.76,3284412.80
2012-07,145236.86,3429649.66
2012-08,303143.12,3732792.78
2012-09,289389.25,4022182.03
2012-10,252939.89,4275121.92
2012-11,323512.56,4598634.48
2012-12,338257.07,4936891.55
2013-01,199186.09,5136077.64
2013-02,167239.77,5303317.41
2013-03,198594.14,5501911.55
2013-04,177821.44,5679732.99
2013-05,260498.63,5940231.62
2013-06,396519.76,6336751.38
2013-07,229928.92,6566680.30
2013-08,326488.94,6893169.24
2013-09,376619.51,7269788.75
2013-10,293406.77,7563195.52
2013-11,373989.57,7937185.09
2013-12,405454.49,8342639.58
2014-01,241268.65,8583908.23
2014-02,184837.46,8768745.69
2014-03,263100.83,9031846.52
2014-04,242772.01,9274618.53
2014-05,288401.13,9563019.66
2014-06,401814.19,9964833.85
2014-07,258705.80,10223539.65
2014-08,456620.18,10680159.83
2014-09,481157.41,11161317.24
2014-10,422766.85,11584084.09
2014-11,555279.30,12139363.39
2014-12,503143.86,12642507.25
